0,unkonwn
1,MSIE
2,Netscape
3,Opera
4,Safari
5,Firefox
6,Galeon
7,Epiphany
8,Konqueror
9,Debian
10,Avant Browser
11,Googlebot
12,Wget
13,Msnbot
14,ELinks
15,Links
16,msnbot
17,Msnbot
18,w3m
19,HTTP
20,Download Demon
21,EmailWolf
22,Email Wolf
23,OWF
24,grub-client
25,Gulper Web Bot
26,MultiZilla
